name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,country,rating_category,rating_with_category,movie_summary
Joker,2019,R,2h 2min,Crime; Drama; Thriller; ,4 October 2019,8.5,822351,10279,https://www.imdb.com/title/tt7286456/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.5 (High),Joker (2019) - Rating: 8.5
Avengers: Endgame,2019,PG-13,3h 1min,Action; Adventure; Drama; ,26 April 2019,8.4,736177,8805,https://www.imdb.com/title/tt4154796/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.4 (High),Avengers: Endgame (2019) - Rating: 8.4
The Shawshank Redemption,1994,R,2h 22min,Drama; ,14 October 1994,9.3,2258845,8022,https://www.imdb.com/title/tt0111161/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.3 (High),The Shawshank Redemption (1994) - Rating: 9.3
Star Wars: Episode IX - The Rise of Skywalker,2019,PG-13,2h 22min,Action; Adventure; Fantasy; ,20 December 2019,6.7,337831,7460,https://www.imdb.com/title/tt2527338/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.7 (Medium),Star Wars: Episode IX - The Rise of Skywalker (2019) - Rating: 6.7
Captain Marvel,2019,PG-13,2h 3min,Action; Adventure; Sci-Fi; ,8 March 2019,6.9,417001,7184,https://www.imdb.com/title/tt4154664/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,6.9 (Medium),Captain Marvel (2019) - Rating: 6.9
The Dark Knight,2008,PG-13,2h 32min,Action; Crime; Drama; ,18 July 2008,9.0,2224522,6836,https://www.imdb.com/title/tt0468569/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,9.0 (High),The Dark Knight (2008) - Rating: 9.0
Star Wars: Episode VIII - The Last Jedi,2017,PG-13,2h 32min,Action; Adventure; Fantasy; ,15 December 2017,7.0,543307,6691,https://www.imdb.com/title/tt2527336/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.0 (Medium),Star Wars: Episode VIII - The Last Jedi (2017) - Rating: 7.0
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,2h 58min,Action; Adventure; Drama; ,19 December 2001,8.8,1609165,5365,https://www.imdb.com/title/tt0120737/reviews/_ajax?ref_=undefined&paginationKey=,USA,High,8.8 (High),The Lord of the Rings: The Fellowship of the Ring (2001) - Rating: 8.8
Once Upon a Time... in Hollywood,2019,R,2h 41min,Comedy; ,26 July 2019,7.7,488535,5064,https://www.imdb.com/title/tt7131622/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.7 (Medium),Once Upon a Time... in Hollywood (2019) - Rating: 7.7
Star Wars: Episode VII - The Force Awakens,2015,PG-13,2h 18min,Action; Adventure; Sci-Fi; ,18 December 2015,7.9,841234,4794,https://www.imdb.com/title/tt2488496/reviews/_ajax?ref_=undefined&paginationKey=,USA,Medium,7.9 (Medium),Star Wars: Episode VII - The Force Awakens (2015) - Rating: 7.9
